sample_name	filename	metabolomics_well_position	metabolomics_injection_number	metabolomics_instrument	metabolomics_LC_description	metabolomics_dilution_factor	metabolomics_extraction_solvent	metabolomics_solvent_injected	metabolomics_notes	metabolomics_plate_number	run_prefix	blank_sample
10781.Cage13.male.Ja5	C18p_Plate1_BE5_01_10241.mzXML	BE5	10241	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage13.male.Ja6	C18p_Plate1_BE6_01_10242.mzXML	BE6	10242	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage13.male.Ja7	C18p_Plate1_BE7_01_10243.mzXML	BE7	10243	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage14.male.WT16	C18p_Plate1_BE8_01_10244.mzXML	BE8	10244	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage14.male.WT17	C18p_Plate1_BE9_01_10245.mzXML	BE9	10245	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage14.male.WT18	C18p_Plate1_BE10_01_10246.mzXML	BE10	10246	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage14.male.WT19	C18p_Plate1_BE11_01_10247.mzXML	BE11	10247	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage14.male.WT20	C18p_Plate1_BE12_01_10248.mzXML	BE12	10248	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage15.male.WT21	C18p_Plate1_BF2_01_10252.mzXML	BF2	10252	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage15.male.WT22	C18p_Plate1_BF3_01_10253.mzXML	BF3	10253	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage15.male.WT23	C18p_Plate1_BF4_01_10254.mzXML	BF4	10254	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage15.male.WT24	C18p_Plate1_BF5_01_10255.mzXML	BF5	10255	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage15.male.WT25	C18p_Plate1_BF6_01_10256.mzXML	BF6	10256	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage16.male.WT26	C18p_Plate1_BF7_01_10257.mzXML	BF7	10257	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage16.male.WT27	C18p_Plate1_BF8_01_10258.mzXML	BF8	10258	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage16.male.WT28	C18p_Plate1_BF9_01_10259.mzXML	BF9	10259	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage16.male.WT29	C18p_Plate1_BF10_01_10260.mzXML	BF10	10260	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage16.male.WT30	C18p_Plate1_BF11_01_10261.mzXML	BF11	10261	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage17.female.WT12	C18p_Plate1_BF12_01_10262.mzXML	BF12	10262	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage17.female.WT13	C18p_Plate1_BG2_01_10267.mzXML	BG2	10267	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage18.male.WT31	C18p_Plate1_BG3_01_10268.mzXML	BG3	10268	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage19.male.CD1d2	C18p_Plate1_BG4_01_10269.mzXML	BG4	10269	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage19.male.CD1d3	C18p_Plate1_BG5_01_10270.mzXML	BG5	10270	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage19.male.CD1d4	C18p_Plate1_BG6_01_10271.mzXML	BG6	10271	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage19.male.CD1d5	C18p_Plate1_BG7_01_10272.mzXML	BG7	10272	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage2.male.WT1	C18p_Plate1_BA7_01_10186.mzXML	BA7	10186	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage2.male.WT2	C18p_Plate1_BA8_01_10187.mzXML	BA8	10187	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage2.male.WT3	C18p_Plate1_BA9_01_10188.mzXML	BA9	10188	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage2.male.WT4	C18p_Plate1_BA10_01_10189.mzXML	BA10	10189	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage2.male.WT5	C18p_Plate1_BA11_01_10190.mzXML	BA11	10190	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage20.male.Qa10	C18p_Plate1_BG9_01_10274.mzXML	BG9	10274	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage20.male.Qa11	C18p_Plate1_BG10_01_10275.mzXML	BG10	10275	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage20.male.Qa12	C18p_Plate1_BG11_01_10276.mzXML	BG11	10276	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage20.male.Qa9	C18p_Plate1_BG8_01_10273.mzXML	BG8	10273	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage21.male.Qa13	C18p_Plate1_BG12_01_10277.mzXML	BG12	10277	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage21.male.Qa14	C18p_Plate1_BH2_01_10283.mzXML	BH2	10283	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage22.female.Qa5	C18p_Plate1_BH3_01_10284.mzXML	BH3	10284	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage22.female.Qa6	C18p_Plate1_BH4_01_10285.mzXML	BH4	10285	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage22.female.Qa7	C18p_Plate1_BH5_01_10286.mzXML	BH5	10286	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage22.female.Qa8	C18p_Plate1_BH6_01_10287.mzXML	BH6	10287	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage22.female.Qa9	C18p_Plate1_BH7_01_10288.mzXML	BH7	10288	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage23.female.Qa10	C18p_Plate1_BH8_01_10289.mzXML	BH8	10289	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage24.male.Qa15	C18p_Plate1_BH9_01_10290.mzXML	BH9	10290	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage24.male.Qa16	C18p_Plate1_BH10_01_10291.mzXML	BH10	10291	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage24.male.Qa17	C18p_Plate1_BH11_01_10292.mzXML	BH11	10292	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage25.female.Ja1	C18p_Plate1_BH12_01_10293.mzXML	BH12	10293	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage25.female.Ja2	C18p_Plate2_BA2_01_10298.mzXML	BA2	10298	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage25.female.Ja3	C18p_Plate2_BA3_01_10299.mzXML	BA3	10299	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage25.female.Ja4	C18p_Plate2_BA4_01_10300.mzXML	BA4	10300	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage25.female.Ja5	C18p_Plate2_BA5_01_10301.mzXML	BA5	10301	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage26.female.Ja10	C18p_Plate2_BA10_01_10306.mzXML	BA10	10306	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage26.female.Ja6	C18p_Plate2_BA6_01_10302.mzXML	BA6	10302	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage26.female.Ja7	C18p_Plate2_BA7_01_10303.mzXML	BA7	10303	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage26.female.Ja8	C18p_Plate2_BA8_01_10304.mzXML	BA8	10304	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage26.female.Ja9	C18p_Plate2_BA9_01_10305.mzXML	BA9	10305	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage27.male.Ja10	C18p_Plate2_BB2_01_10312.mzXML	BB2	10312	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage27.male.Ja8	C18p_Plate2_BA11_01_10307.mzXML	BA11	10307	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage27.male.Ja9	C18p_Plate2_BA12_01_10308.mzXML	BA12	10308	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage28.male.Ja11	C18p_Plate2_BB3_01_10313.mzXML	BB3	10313	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage28.male.Ja12	C18p_Plate2_BB4_01_10314.mzXML	BB4	10314	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage28.male.Ja13	C18p_Plate2_BB5_01_10315.mzXML	BB5	10315	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage29.male.Ja14	C18p_Plate2_BB6_01_10316.mzXML	BB6	10316	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage29.male.Ja15	C18p_Plate2_BB7_01_10317.mzXML	BB7	10317	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage29.male.Ja16	C18p_Plate2_BB8_01_10318.mzXML	BB8	10318	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage3.male.WT10	C18p_Plate1_BB5_01_10199.mzXML	BB5	10199	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage3.male.WT6	C18p_Plate1_BA12_01_10191.mzXML	BA12	10191	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage3.male.WT7	C18p_Plate1_BB2_01_10196.mzXML	BB2	10196	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage3.male.WT8	C18p_Plate1_BB3_01_10197.mzXML	BB3	10197	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage3.male.WT9	C18p_Plate1_BB4_01_10198.mzXML	BB4	10198	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate1		sample
10781.Cage30.male.WT.CSAA1	C18p_Plate2_BB9_01_10319.mzXML	BB9	10319	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage30.male.WT.CSAA2	C18p_Plate2_BB10_01_10320.mzXML	BB10	10320	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage30.male.WT.CSAA3	C18p_Plate2_BB11_01_10321.mzXML	BB11	10321	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage30.male.WT.CSAA4	C18p_Plate2_BB12_01_10322.mzXML	BB12	10322	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage31.male.WT.CDAA1	C18p_Plate2_BC2_01_10326.mzXML	BC2	10326	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage31.male.WT.CDAA2	C18p_Plate2_BC3_01_10327.mzXML	BC3	10327	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage31.male.WT.CDAA3	C18p_Plate2_BC4_01_10328.mzXML	BC4	10328	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage31.male.WT.CDAA4	C18p_Plate2_BC5_01_10329.mzXML	BC5	10329	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage31.male.WT.CDAA5	C18p_Plate2_BC6_01_10330.mzXML	BC6	10330	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage32.male.WT.CDAA.Sulf1	C18p_Plate2_BC7_01_10331.mzXML	BC7	10331	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage32.male.WT.CDAA.Sulf2	C18p_Plate2_BC8_01_10332.mzXML	BC8	10332	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage32.male.WT.CDAA.Sulf3	C18p_Plate2_BC9_01_10333.mzXML	BC9	10333	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage32.male.WT.CDAA.Sulf4	C18p_Plate2_BC10_01_10334.mzXML	BC10	10334	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage32.male.WT.CDAA.Sulf5	C18p_Plate2_BC11_01_10335.mzXML	BC11	10335	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage33.male.WT.CDAA.Taz300.1	C18p_Plate2_BC12_01_10336.mzXML	BC12	10336	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage33.male.WT.CDAA.Taz300.2	C18p_Plate2_BD2_01_10340.mzXML	BD2	10340	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage33.male.WT.CDAA.Taz300.3	C18p_Plate2_BD3_01_10341.mzXML	BD3	10341	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage33.male.WT.CDAA.Taz300.4	C18p_Plate2_BD4_01_10342.mzXML	BD4	10342	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage33.male.WT.CDAA.Taz300.5	C18p_Plate2_BD5_01_10343.mzXML	BD5	10343	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage34.male.WT.CDAA.Taz600.1	C18p_Plate2_BD6_01_10344.mzXML	BD6	10344	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage34.male.WT.CDAA.Taz600.2	C18p_Plate2_BD7_01_10345.mzXML	BD7	10345	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage34.male.WT.CDAA.Taz600.3	C18p_Plate2_BD8_01_10346.mzXML	BD8	10346	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage34.male.WT.CDAA.Taz600.4	C18p_Plate2_BD9_01_10347.mzXML	BD9	10347	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage34.male.WT.CDAA.Taz600.5	C18p_Plate2_BD10_01_10348.mzXML	BD10	10348	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage35.male.WT.CSAA5	C18p_Plate2_BD11_01_10349.mzXML	BD11	10349	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage35.male.WT.CSAA6	C18p_Plate2_BD12_01_10350.mzXML	BD12	10350	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage35.male.WT.CSAA7	C18p_Plate2_BE2_01_10354.mzXML	BE2	10354	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
10781.Cage35.male.WT.CSAA8	C18p_Plate2_BE3_01_10355.mzXML	BE3	10355	Bruker Daltonics maXis Impact	C18 RP-UHPLC	1	50% MeOH with Sulfamethazine	50% MeOH with Sulfadimethoxine	None	Plate2		sample
